species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Hemiphaga_novaeseelandiae,COLUMBIFORMES,1.047,6.434,-0.213,Resident.HighLat,0,2.251,1.592,1.594,1.592,0.026,0.02,8.726,1.693,1,0,1,0,29,41,altricial,Monogamous,Solitary,Aggregation
Hemithraupis_guira,PASSERIFORMES,-0.63,2.464,0.152,Resident.LowLat,0,0,1.628,1.648,1.628,0.018,0.012,0.138,1.022,1,1,1,0.185,NA,NA,altricial,NA,NA,NA
Hemitriccus_margaritaceiventer,PASSERIFORMES,-0.799,2.044,0.199,Resident.LowLat,0,0,1.518,1.609,1.518,0.022,0.013,1.114,1.127,0,1,0,0,NA,NA,altricial,Monogamous,Solitary,NA
Henicophaps_albifrons,COLUMBIFORMES,0.742,5.561,-0.084,Resident.MidLat,0,0,1.678,1.68,1.678,0.01,0.014,-0.151,2.754,1,1,1,0.073,NA,NA,altricial,Monogamous,NA,NA
Henicorhina_leucosticta,PASSERIFORMES,-0.242,2.631,0.452,Resident.LowLat,0,0,1.674,1.713,1.674,0.012,0.014,-0.039,2.336,0,1,1,0,18,NA,altricial,Monogamous,Solitary,NA
Herpetotheres_cachinnans,FALCONIFORMES,1.96,6.413,0.71,Resident.LowLat,0,0,1.631,1.64,1.631,0.017,0.013,0.287,1.363,0,0,1,0.001,NA,NA,semialtricial,Monogamous,Solitary,NA
Heteromyias_albispecularis,PASSERIFORMES,0.049,3.651,0.206,Resident.LowLat,0,0,1.651,1.642,1.651,0.011,0.014,-0.063,2.78,0,1,1,0,NA,NA,altricial,NA,NA,NA
Heteroscelus_brevipes,CHARADRIIFORMES,0.279,4.838,-0.177,Migrant.Long,7273.484,NA,1.003,1.124,1.627,0.253,0.017,NA,NA,0,1,0,0.001,NA,NA,precocial,Monogamous,Solitary,Aggregation
Heteroscelus_incanus,CHARADRIIFORMES,0.256,4.755,-0.156,Migrant.Long,6539.703,NA,1.008,1.134,1.411,0.158,0.015,NA,NA,0,1,0,0.001,24,0.1,precocial,NA,NA,NA
Hieraaetus_morphnoides,ACCIPITRIFORMES,2.122,7.262,0.436,Resident.LowLat,0,0.001,1.386,1.361,1.386,0.008,0.009,-2.879,-0.633,0,1,1,0.001,37,60,semialtricial,Monogamous,Solitary,Solitary
Hirundapus_caudacutus,APODIFORMES,0.256,4.538,-0.045,Migrant.Long,8245.899,NA,1.141,1.314,1.457,0.092,0.016,NA,NA,0,1,1,0,40,41,altricial,NA,NA,NA
Hirundo_ariel,PASSERIFORMES,-0.968,2.351,-0.127,Resident.MidLat,0,0.002,1.373,1.391,1.373,0.009,0.01,-2.349,-0.162,0,1,0,0,13.7,22.1,altricial,NA,NA,NA
Hirundo_neoxena,PASSERIFORMES,-0.75,2.591,-0.034,Migrant.Short,1138.682,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,15.85,20.25,altricial,Monogamous,Facultative,Aggregation
Hirundo_rustica,PASSERIFORMES,-0.598,2.735,0.041,Migrant.Long,6512.855,NA,1.249,1.358,1.535,0.08,0.013,NA,NA,0,1,0,0.024,15,20.4,altricial,Monogamous,Facultative,Aggregation
Histrionicus_histrionicus,ANSERIFORMES,1.582,6.352,0.361,Migrant.Short,800.342,NA,1.038,1.192,1.068,0.146,0.014,NA,NA,0,1,0,0.001,28,20.05,precocial,Monogamous,Solitary,NA
Hylacola_pyrrhopygia,PASSERIFORMES,0.03,2.991,0.534,Resident.MidLat,0,0.01,1.532,1.457,1.532,0.017,0.016,1.593,3.17,0,1,1,0.173,NA,NA,altricial,NA,NA,NA
Hylocichla_mustelina,PASSERIFORMES,0.243,3.669,0.391,Migrant.Short,2790.039,NA,1.41,1.525,1.602,0.051,0.013,NA,NA,0,1,0,0.073,13.365,12.25,altricial,Monogamous,Solitary,Solitary
Hylophylax_naevius,PASSERIFORMES,-0.543,2.526,0.207,Resident.LowLat,0,0,1.719,1.685,1.719,0.012,0.013,-0.357,1.882,0,1,1,0,NA,11,altricial,Monogamous,Solitary,NA
Hymenops_perspicillatus,PASSERIFORMES,-0.281,3.141,0.144,Migrant.Short,1660.075,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,14,15.5,altricial,Monogamous,Solitary,Solitary
Hypocnemis_cantator,PASSERIFORMES,-0.515,2.303,0.351,Resident.LowLat,0,0,1.647,1.709,1.647,0.013,0.014,0.008,2.122,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Hypothymis_azurea,PASSERIFORMES,-0.673,2.321,0.183,Resident.LowLat,0,0.029,1.55,1.627,1.55,0.021,0.012,0.398,0.28,0,1,1,0,12,10,altricial,Monogamous,Solitary,Aggregation
Icterus_galbula,PASSERIFORMES,0.109,3.505,0.344,Migrant.Short,3131.828,NA,1.326,1.423,1.527,0.053,0.013,NA,NA,0,1,1,0.064,13,13,altricial,Monogamous,Solitary,Bonded
Icterus_spurius,PASSERIFORMES,-0.142,3.091,0.309,Migrant.Short,2669.03,NA,1.43,1.484,1.563,0.044,0.013,NA,NA,0,1,0,0.151,13,12.5,altricial,Monogamous,Facultative,Aggregation
